transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system,has_data_error,data_error_types
TXNL202500000018,ACC0001221,IND19011832,LN2019010000190,LDO20250000004,79,2025-08-15,04:06:53,5061.94,Debit,Completed,,Loan Payment - LN2019010000190,False,,1.77,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000019,ACC0000708,IND19015529,LN2019010000217,LDO20250000023,79,2025-08-27,03:05:51,1596.07,Debit,Completed,,Loan Payment - LN2019010000217 - Late Fee,False,,1.75,,Automated,Home Loan,late_payment,False,loan_payment_generator,False,
TXNL202500000020,ACC0001510,IND19016623,LN2019010000221,LDO20250000006,79,2025-08-19,03:57:05,4093.97,Debit,Failed,account_blocked,Loan Payment - LN2019010000221,False,,0.98,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000021,ACC0001291,IND19005742,LN2019010000238,LDO20250000007,79,2025-08-17,04:44:29,1155.73,Debit,Completed,,Loan Payment - LN2019010000238,False,,1.69,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000022,ACC0000295,IND19012061,LN2019010000258,LDO20250000008,79,2025-08-17,02:43:31,1803.51,Debit,Completed,,Loan Payment - LN2019010000258,False,,0.52,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000023,ACC0000030,IND19010515,LN2019010000266,LDO20250000015,79,2025-08-25,02:46:19,1516.71,Debit,Completed,,Loan Payment - LN2019010000266,False,,0.02,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000024,ACC0000717,IND19015259,LN2019010000274,LDO20250000024,78,2025-08-10,04:23:57,916.67,Debit,Completed,,Loan Payment - LN2019010000274,False,,0.34,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000025,ACC0000115,IND19013155,LN2019010000284,LDO20250000016,79,2025-08-27,02:09:39,1427.41,Debit,Completed,,Loan Payment - LN2019010000284,False,,0.27,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000026,ACC0000656,IND19013092,LN2019010000312,LDO20250000009,79,2025-08-11,02:26:46,2556.29,Debit,Completed,,Loan Payment - LN2019010000312,False,,1.58,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000027,ACC0000456,IND19006712,LN2019010000324,LDO20250000031,79,2025-08-28,02:03:26,577.1,Debit,Completed,,Loan Payment - LN2019010000324,False,,1.65,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000028,ACC0001167,IND19004585,LN2019010000343,LDO20250000010,79,2025-08-29,04:45:13,2426.09,Debit,Completed,,Loan Payment - LN2019010000343,False,,0.75,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000029,ACC0000060,IND19004334,LN2019010000350,LDO20250000033,79,2025-08-14,03:18:25,1643.06,Debit,Completed,,Loan Payment - LN2019010000350,False,,0.64,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000030,ACC0000457,IND19014286,LN2019010000356,LDO20250000002,78,2025-08-04,02:04:58,1367.7,Debit,Cancelled,customer_stop_instruction,Loan Payment - LN2019010000356 - Recovery,False,,1.26,,Automated,Home Loan,recovery_payment,True,loan_payment_generator,False,
TXNL202500000031,ACC0001358,IND19015137,LN2019010000368,LDO20250000019,79,2025-08-17,03:48:57,906.4,Debit,Completed,,Loan Payment - LN2019010000368,False,,0.43,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000032,ACC0000551,IND19010018,LN2019010000378,LDO20250000034,78,2025-08-04,02:13:48,4685.64,Debit,Completed,,Loan Payment - LN2019010000378 - Late Fee,False,,0.19,,Automated,Home Loan,late_payment,False,loan_payment_generator,False,
TXNL202500000033,ACC0000732,IND19013668,LN2019010000386,LDO20250000035,79,2025-08-16,03:13:40,5822.18,Debit,Completed,,Loan Payment - LN2019010000386,False,,0.13,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000034,ACC0001449,IND19011707,LN2019010000388,LDO20250000037,79,2025-08-15,02:20:55,3506.91,Debit,Completed,,Loan Payment - LN2019010000388,False,,0.99,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000035,ACC0001041,IND19014771,LN2019010000390,LDO20250000038,78,2025-08-09,02:19:20,2202.53,Debit,Completed,,Loan Payment - LN2019010000390,False,,0.61,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000036,ACC0000724,IND19005518,LN2019010000406,LDO20250000039,79,2025-08-30,03:02:40,2062.72,Debit,Completed,,Loan Payment - LN2019010000406,False,,1.91,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000037,ACC0001215,IND19009203,LN2019010000449,LDO20250000040,78,2025-08-03,03:19:57,245.6,Debit,Completed,,Loan Payment - LN2019010000449,False,,1.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000038,ACC0000677,IND19014762,LN2019010000450,LDO20250000041,79,2025-08-23,03:32:26,2083.6,Debit,Completed,,Loan Payment - LN2019010000450,False,,1.08,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000039,ACC0000769,IND19003379,LN2019010000462,LDO20250000043,79,2025-08-19,03:28:08,1029.76,Debit,Completed,,Loan Payment - LN2019010000462,False,,1.56,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000040,ACC0000639,IND19007802,LN2019010000464,LDO20250000021,79,2025-08-26,02:40:41,2991.38,Debit,Completed,,Loan Payment - LN2019010000464,False,,1.83,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000041,ACC0000029,IND19014833,LN2019010000478,LDO20250000022,79,2025-08-28,02:16:05,1635.7,Debit,Completed,,Loan Payment - LN2019010000478,False,,0.04,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000042,ACC0000311,IND19003026,LN2019010000487,LDO20250000045,78,2025-08-09,04:52:18,450.66,Debit,Completed,,Loan Payment - LN2019010000487,False,,1.76,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000043,ACC0000416,IND19005427,LN2019010000496,LDO20250000005,78,2025-08-02,02:46:36,195.92,Debit,Completed,,Loan Payment - LN2019010000496 - Partial,False,,1.82,,Automated,Home Loan,partial_payment,False,loan_payment_generator,False,
TXNL202500000044,ACC0001365,IND19015299,LN2019010000510,LDO20250000047,79,2025-08-18,04:22:56,305.32,Debit,Completed,,Loan Payment - LN2019010000510,False,,1.06,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000045,ACC0000964,IND19014388,LN2019010000542,LDO20250000006,79,2025-08-10,04:07:07,2668.1,Debit,Completed,,Loan Payment - LN2019010000542,False,,0.39,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000046,ACC0000932,IND19008584,LN2019010000557,LDO20250000049,79,2025-08-29,02:47:33,3493.79,Debit,Completed,,Loan Payment - LN2019010000557,False,,1.17,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000047,ACC0001001,IND19005012,LN2019010000562,LDO20250000003,79,2025-08-21,02:44:58,1563.13,Debit,Completed,,Loan Payment - LN2019010000562,False,,1.62,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000048,ACC0001267,IND19012469,LN2019010000566,LDO20250000001,79,2025-08-23,03:31:07,1437.67,Debit,Completed,,Loan Payment - LN2019010000566,False,,1.66,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000049,ACC0000607,IND19001644,LN2019010000574,LDO20250000051,79,2025-08-10,04:56:40,1656.14,Debit,Completed,,Loan Payment - LN2019010000574,False,,0.33,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000050,ACC0000922,IND19002862,LN2019010000575,LDO20250000007,78,2025-08-02,02:40:19,1134.12,Debit,Completed,,Loan Payment - LN2019010000575,False,,1.79,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000051,ACC0000229,IND19003127,LN2019010000592,LDO20250000052,79,2025-08-23,04:27:30,3882.22,Debit,Completed,,Loan Payment - LN2019010000592,False,,1.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000052,ACC0000184,IND19000180,LN2019010000593,LDO20250000008,78,2025-08-06,03:17:03,471.84,Debit,Completed,,Loan Payment - LN2019010000593,False,,0.59,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000053,ACC0001644,COM19000369,LN2019010000594,LDO20250000014,79,2025-08-14,03:15:28,2023.43,Debit,Completed,,Loan Payment - LN2019010000594,False,,0.18,,Automated,Business Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000054,ACC0000428,IND19005094,LN2019010000618,LDO20250000055,78,2025-08-03,02:42:12,1891.89,Debit,Completed,,Loan Payment - LN2019010000618,False,,0.89,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000055,ACC0000793,IND19015483,LN2019010000623,LDO20250000056,78,2025-08-01,03:02:51,731.84,Debit,Completed,,Loan Payment - LN2019010000623 - Partial,False,,0.54,,Automated,Home Loan,partial_payment,False,loan_payment_generator,False,
TXNL202500000056,ACC0000500,IND19005407,LN2019010000624,LDO20250000015,78,2025-08-08,02:19:06,634.52,Debit,Completed,,Loan Payment - LN2019010000624,False,,1.92,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000057,ACC0000116,IND19013155,LN2019010000644,LDO20250000057,79,2025-08-17,03:33:33,449.28,Debit,Completed,,Loan Payment - LN2019010000644,False,,1.54,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000058,ACC0001128,IND19005846,LN2019010000646,LDO20250000026,79,2025-08-13,03:43:21,641.97,Debit,Completed,,Loan Payment - LN2019010000646,False,,0.18,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000059,ACC0000774,IND19000369,LN2019010000659,LDO20250000027,79,2025-08-10,03:35:37,2156.62,Debit,Completed,,Loan Payment - LN2019010000659,False,,0.58,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000060,ACC0000118,IND19007840,LN2019010000664,LDO20250000059,79,2025-08-19,03:43:59,513.14,Debit,Completed,,Loan Payment - LN2019010000664,False,,0.91,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000061,ACC0000904,IND19010238,LN2019010000678,LDO20250000061,79,2025-08-27,03:39:49,1031.73,Debit,Completed,,Loan Payment - LN2019010000678,False,,0.78,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000062,ACC0000076,IND19009052,LN2019010000679,LDO20250000062,79,2025-08-29,03:31:59,538.09,Debit,Failed,account_blocked,Loan Payment - LN2019010000679,False,,1.21,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000063,ACC0000813,IND19000596,LN2019010000711,LDO20250000017,78,2025-08-01,02:04:34,1725.59,Debit,Completed,,Loan Payment - LN2019010000711,False,,1.77,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000064,ACC0001516,IND19008680,LN2019010000721,LDO20250000066,79,2025-08-20,02:50:22,2387.66,Debit,Cancelled,customer_stop_instruction,Loan Payment - LN2019010000721,False,,0.94,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000065,ACC0000588,IND19011813,LN2019010000727,LDO20250000009,79,2025-08-30,03:16:59,1158.89,Debit,Failed,account_blocked,Loan Payment - LN2019010000727,False,,0.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000066,ACC0000766,IND19001627,LN2019010000750,LDO20250000030,79,2025-08-17,04:34:12,3674.43,Debit,Completed,,Loan Payment - LN2019010000750 - Partial,False,,0.18,,Automated,Home Loan,partial_payment,False,loan_payment_generator,False,
TXNL202500000067,ACC0001371,IND19016093,LN2019010000763,LDO20250000010,79,2025-08-27,02:48:35,4166.3,Debit,Completed,,Loan Payment - LN2019010000763,False,,1.97,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000068,ACC0000969,IND19014108,LN2019010000780,LDO20250000069,79,2025-08-30,04:42:02,3896.87,Debit,Completed,,Loan Payment - LN2019010000780,False,,1.36,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000069,ACC0000393,IND19006420,LN2019010000790,LDO20250000071,78,2025-08-01,03:00:11,1020.55,Debit,Completed,,Loan Payment - LN2019010000790,False,,1.25,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000070,ACC0000845,IND19009812,LN2019010000828,LDO20250000075,79,2025-08-21,03:44:32,1557.11,Debit,Completed,,Loan Payment - LN2019010000828,False,,1.82,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000071,ACC0000163,IND19007764,LN2019010000838,LDO20250000018,79,2025-08-23,03:38:17,1379.8,Debit,Completed,,Loan Payment - LN2019010000838,False,,0.67,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000072,ACC0000122,IND19013761,LN2019010000859,LDO20250000034,78,2025-08-02,03:11:27,720.34,Debit,Failed,mandate_limit,Loan Payment - LN2019010000859 - Partial,False,,0.26,,Automated,Home Loan,partial_payment,False,loan_payment_generator,False,
TXNL202500000073,ACC0000520,IND19009308,LN2019010000873,LDO20250000079,79,2025-08-22,03:04:30,1240.5,Debit,Completed,,Loan Payment - LN2019010000873,False,,1.24,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000074,ACC0000711,IND19003817,LN2019010000888,LDO20250000035,79,2025-08-12,02:22:48,356.97,Debit,Completed,,Loan Payment - LN2019010000888,False,,1.63,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000075,ACC0000386,IND19013498,LN2019010000897,LDO20250000080,79,2025-08-22,04:13:35,4403.12,Debit,Completed,,Loan Payment - LN2019010000897,False,,1.29,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000076,ACC0000330,IND19007194,LN2019010000917,LDO20250000038,79,2025-08-18,02:00:35,606.42,Debit,Completed,,Loan Payment - LN2019010000917,False,,0.64,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000077,ACC0001493,IND19010838,LN2019010000934,LDO20250000085,79,2025-08-19,02:03:30,2297.2,Debit,Completed,,Loan Payment - LN2019010000934,False,,1.94,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000078,ACC0000798,IND19013925,LN2019010000952,LDO20250000086,78,2025-08-06,03:23:51,1005.26,Debit,Completed,,Loan Payment - LN2019010000952,False,,0.05,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000079,ACC0000841,IND19006895,LN2019010000958,LDO20250000012,79,2025-08-10,04:47:20,1128.8,Debit,Completed,,Loan Payment - LN2019010000958,False,,0.67,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000080,ACC0000658,IND19011862,LN2019010000959,LDO20250000087,79,2025-08-29,03:23:07,253.83,Debit,Completed,,Loan Payment - LN2019010000959,False,,1.2,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000081,ACC0000879,IND19011453,LN2019010001027,LDO20250000090,78,2025-08-01,04:45:28,2533.38,Debit,Completed,,Loan Payment - LN2019010001027,False,,0.2,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000082,ACC0000973,IND19012041,LN2019010001042,LDO20250000091,79,2025-08-10,04:36:27,2575.46,Debit,Completed,,Loan Payment - LN2019010001042,False,,0.68,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000083,ACC0000272,IND19000376,LN2019010001058,LDO20250000042,78,2025-08-05,04:02:30,5783.8,Debit,Completed,,Loan Payment - LN2019010001058,False,,1.48,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000084,ACC0000438,IND19012444,LN2019010001066,LDO20250000043,78,2025-08-02,02:19:49,3182.83,Debit,Completed,,Loan Payment - LN2019010001066 - Partial,False,,0.25,,Automated,Home Loan,partial_payment,False,loan_payment_generator,False,
TXNL202500000085,ACC0000203,IND19005110,LN2019010001082,LDO20250000092,78,2025-08-02,03:55:53,413.5,Debit,Completed,,Loan Payment - LN2019010001082,False,,0.52,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000086,ACC0001069,IND19001364,LN2019010001084,LDO20250000093,79,2025-08-13,03:30:05,1198.05,Debit,Completed,,Loan Payment - LN2019010001084,False,,0.49,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000087,ACC0001528,IND19005983,LN2019010001092,LDO20250000094,79,2025-08-23,03:48:40,202.89,Debit,Completed,,Loan Payment - LN2019010001092,False,,1.84,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000088,ACC0000637,IND19000666,LN2019010001113,LDO20250000095,79,2025-08-27,02:29:37,1551.58,Debit,Completed,,Loan Payment - LN2019010001113,False,,0.01,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000089,ACC0000072,IND19005479,LN2019010001116,LDO20250000096,79,2025-08-24,03:46:45,905.2,Debit,Completed,,Loan Payment - LN2019010001116,False,,0.07,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000090,ACC0001096,IND19016205,LN2019010001121,LDO20250000045,78,2025-08-03,04:00:30,1608.95,Debit,Completed,,Loan Payment - LN2019010001121,False,,0.09,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000091,ACC0000836,IND19001994,LN2019010001130,LDO20250000005,79,2025-08-14,02:12:53,142.87,Debit,Completed,,Loan Payment - LN2019010001130 - Partial,False,,1.32,,Automated,Home Loan,partial_payment,False,loan_payment_generator,False,
TXNL202500000092,ACC0000770,IND19003379,LN2019010001133,LDO20250000097,78,2025-08-02,02:30:07,2945.25,Debit,Completed,,Loan Payment - LN2019010001133,False,,1.06,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000093,ACC0000810,IND19014075,LN2019010001146,LDO20250000099,79,2025-08-19,03:40:00,2602.46,Debit,Completed,,Loan Payment - LN2019010001146,False,,0.33,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000094,ACC0001343,IND19009143,LN2019010001157,LDO20250000101,79,2025-08-16,04:11:11,3027.98,Debit,Failed,bank_timeout,Loan Payment - LN2019010001157,False,,1.12,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000095,ACC0000585,IND19004309,LN2019010001163,LDO20250000047,79,2025-08-17,03:53:33,3194.33,Debit,Completed,,Loan Payment - LN2019010001163,False,,1.74,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000096,ACC0001016,IND19007315,LN2019010001180,LDO20250000103,79,2025-08-23,03:10:56,2112.96,Debit,Failed,mandate_limit,Loan Payment - LN2019010001180,False,,0.81,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000097,ACC0000169,IND19015276,LN2019010001182,LDO20250000104,79,2025-08-18,04:19:00,1584.57,Debit,Completed,,Loan Payment - LN2019010001182,False,,1.23,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000098,ACC0000415,IND19016238,LN2019010001200,LDO20250000023,79,2025-08-15,03:20:09,287.51,Debit,Completed,,Loan Payment - LN2019010001200,False,,0.95,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000099,ACC0000086,IND19000654,LN2019010001211,LDO20250000108,79,2025-08-18,04:41:18,894.48,Debit,Completed,,Loan Payment - LN2019010001211,False,,0.99,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000100,ACC0001486,IND19010904,LN2019010001234,LDO20250000049,78,2025-08-05,02:56:05,3157.23,Debit,Completed,,Loan Payment - LN2019010001234,False,,0.33,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000101,ACC0000515,IND19011906,LN2019010001239,LDO20250000110,78,2025-08-03,03:02:39,1552.14,Debit,Completed,,Loan Payment - LN2019010001239 - Partial,False,,1.42,,Automated,Home Loan,partial_payment,False,loan_payment_generator,False,
TXNL202500000102,ACC0000604,IND19004880,LN2019010001245,LDO20250000003,79,2025-08-14,03:09:31,3869.28,Debit,Completed,,Loan Payment - LN2019010001245,False,,1.81,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000103,ACC0001152,IND19000150,LN2019010001247,LDO20250000050,78,2025-08-01,02:44:31,1923.18,Debit,Completed,,Loan Payment - LN2019010001247,False,,1.46,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000104,ACC0001298,IND19009380,LN2019010001249,LDO20250000111,78,2025-08-10,02:46:38,3296.05,Debit,Failed,mandate_limit,Loan Payment - LN2019010001249,False,,0.03,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000105,ACC0001164,IND19004303,LN2019010001252,LDO20250000001,78,2025-08-07,02:00:40,262.26,Debit,Completed,,Loan Payment - LN2019010001252,False,,1.48,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000106,ACC0000183,IND19008327,LN2019010001260,LDO20250000013,78,2025-08-02,02:40:16,2519.02,Debit,Completed,,Loan Payment - LN2019010001260,False,,0.92,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000107,ACC0000889,IND19001057,LN2019010001302,LDO20250000116,79,2025-08-31,02:15:30,2279.58,Debit,Completed,,Loan Payment - LN2019010001302,False,,1.93,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000108,ACC0001153,IND19015308,LN2019010001309,LDO20250000117,79,2025-08-23,03:57:52,450.35,Debit,Completed,,Loan Payment - LN2019010001309,False,,0.23,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000109,ACC0000189,IND19003338,LN2019010001311,LDO20250000118,79,2025-08-12,02:21:54,1140.95,Debit,Completed,,Loan Payment - LN2019010001311,False,,0.61,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000110,ACC0000159,IND19009851,LN2019010001326,LDO20250000121,79,2025-08-28,04:43:21,1772.07,Debit,Completed,,Loan Payment - LN2019010001326,False,,1.83,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000111,ACC0000721,IND19006161,LN2019010001331,LDO20250000052,79,2025-08-20,03:08:58,3202.46,Debit,Completed,,Loan Payment - LN2019010001331,False,,1.08,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000112,ACC0000460,IND19006127,LN2019010001349,LDO20250000008,78,2025-08-06,03:21:19,1378.21,Debit,Completed,,Loan Payment - LN2019010001349 - Late Fee,False,,0.9,,Automated,Home Loan,late_payment,False,loan_payment_generator,False,
TXNL202500000113,ACC0001046,IND19014386,LN2019010001351,LDO20250000014,78,2025-08-02,02:06:13,1152.7,Debit,Completed,,Loan Payment - LN2019010001351,False,,0.55,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
