response_id,campaign_id,customer_id,account_id,response_date,response_type,conversion_value_zar,channel_used,notes
RESP-202310-0000066,CAMP-2023-009,IND2310019002,ACC0075214,2023-10-23,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000067,CAMP-2023-009,IND2310008006,ACC0076018,2023-10-25,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000068,CAMP-2023-009,IND2310010827,ACC0075416,2023-10-29,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000069,CAMP-2023-009,IND2310014741,ACC0076649,2023-10-24,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000070,CAMP-2023-009,IND2310022101,,2023-10-30,clicked,,branch_poster,Customer clicked through to campaign landing page or product information.
RESP-202310-0000071,CAMP-2023-009,IND2310017854,ACC0074642,2023-10-24,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000072,CAMP-2023-009,IND2310020816,ACC0075199,2023-10-25,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000073,CAMP-2023-009,IND2310022871,,2023-10-24,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000074,CAMP-2023-009,IND2310014092,ACC0075976,2023-10-28,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000075,CAMP-2023-009,IND2310006152,,2023-10-28,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000076,CAMP-2023-009,IND2310012429,ACC0075788,2023-10-25,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000077,CAMP-2023-009,IND2310020036,ACC0074782,2023-10-29,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000078,CAMP-2023-009,IND2310003013,ACC0074689,2023-10-26,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000079,CAMP-2023-009,IND2310024248,ACC0075245,2023-10-30,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000080,CAMP-2023-009,IND2310020321,ACC0076583,2023-10-29,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000081,CAMP-2023-009,IND2310002960,ACC0075807,2023-10-27,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000082,CAMP-2023-009,IND2310004413,ACC0075735,2023-10-25,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000083,CAMP-2023-009,IND2310008016,ACC0075935,2023-10-26,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000084,CAMP-2023-009,IND2310008579,ACC0075644,2023-10-28,opened,,sms,Customer opened or viewed the campaign message.
RESP-202310-0000085,CAMP-2023-009,IND2310009114,ACC0076158,2023-10-30,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000086,CAMP-2023-009,IND2310013451,,2023-10-25,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000087,CAMP-2023-009,IND2310007850,ACC0075686,2023-10-30,complained,,sms,"Customer complained about frequency, relevance or timing of marketing contact."
RESP-202310-0000088,CAMP-2023-009,IND2310024215,,2023-10-30,clicked,,branch_poster,Customer clicked through to campaign landing page or product information.
RESP-202310-0000089,CAMP-2023-009,IND2310003998,ACC0076753,2023-10-26,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000090,CAMP-2023-009,IND2310020339,ACC0075055,2023-10-25,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000091,CAMP-2023-009,IND2310020894,,2023-10-27,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000092,CAMP-2023-009,IND2310013801,ACC0074867,2023-10-25,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000093,CAMP-2023-009,IND2310002435,ACC0075054,2023-10-28,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000094,CAMP-2023-009,IND2310023256,ACC0075022,2023-10-30,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000095,CAMP-2023-009,IND2310003717,ACC0075945,2023-10-31,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000096,CAMP-2023-009,IND2310001007,ACC0076312,2023-10-31,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000097,CAMP-2023-009,IND2310008897,ACC0074650,2023-10-26,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000098,CAMP-2023-009,IND2310008285,ACC0075755,2023-10-25,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000099,CAMP-2023-009,IND2310006664,ACC0076335,2023-10-30,opted_out,,branch_poster,Customer opted out of marketing messages for this channel.
RESP-202310-0000100,CAMP-2023-009,IND2310000163,,2023-10-31,opened,,sms,Customer opened or viewed the campaign message.
RESP-202310-0000101,CAMP-2023-009,IND2310000730,ACC0076110,2023-10-30,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000102,CAMP-2023-009,COM2310000408,ACC0076794,2023-10-26,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000103,CAMP-2023-010,IND2310027004,ACC0076104,2023-10-03,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000104,CAMP-2023-010,IND2310010157,ACC0075657,2023-10-07,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000105,CAMP-2023-010,COM2310000359,ACC0076768,2023-10-03,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000106,CAMP-2023-010,IND2310017913,ACC0075584,2023-10-15,clicked,,email,Customer clicked through to campaign landing page or product information.
RESP-202310-0000107,CAMP-2023-010,IND2310006376,ACC0076345,2023-10-09,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000108,CAMP-2023-010,IND2310011018,ACC0075453,2023-10-19,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000109,CAMP-2023-010,IND2310008053,ACC0076423,2023-10-20,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000110,CAMP-2023-010,IND2310012958,ACC0076258,2023-10-25,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000111,CAMP-2023-010,IND2310007603,,2023-10-09,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000112,CAMP-2023-010,COM2310000280,ACC0076784,2023-10-20,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000113,CAMP-2023-010,IND2310005441,ACC0075808,2023-10-27,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000114,CAMP-2023-010,IND2310010096,ACC0075134,2023-10-25,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000115,CAMP-2023-010,IND2310000043,ACC0076189,2023-10-20,opened,,email,Customer opened or viewed the campaign message.
RESP-202310-0000116,CAMP-2023-010,IND2310008361,ACC0074927,2023-10-27,opened,,email,Customer opened or viewed the campaign message.
RESP-202310-0000117,CAMP-2023-010,IND2310020025,ACC0074742,2023-10-21,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000118,CAMP-2023-010,IND2310020715,ACC0076072,2023-10-10,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000119,CAMP-2023-010,IND2310006593,ACC0075489,2023-10-02,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000120,CAMP-2023-010,IND2310025855,ACC0074787,2023-10-07,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000121,CAMP-2023-010,IND2310019545,ACC0076126,2023-10-05,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000122,CAMP-2023-010,IND2310022669,ACC0074798,2023-10-07,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000123,CAMP-2023-010,IND2310016015,ACC0076320,2023-10-05,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000124,CAMP-2023-010,IND2310017745,ACC0076720,2023-10-14,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000125,CAMP-2023-010,IND2310008285,ACC0075755,2023-10-19,complained,,email,"Customer complained about frequency, relevance or timing of marketing contact."
RESP-202310-0000126,CAMP-2023-010,IND2310005166,,2023-10-29,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000127,CAMP-2023-010,IND2310022101,,2023-10-17,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000128,CAMP-2023-010,IND2310022450,ACC0076315,2023-10-19,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000129,CAMP-2023-010,IND2310014764,ACC0074985,2023-10-08,opted_out,,email,Customer opted out of marketing messages for this channel.
RESP-202310-0000130,CAMP-2023-010,IND2310004870,ACC0074780,2023-10-08,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000131,CAMP-2023-010,IND2310019461,ACC0076086,2023-10-10,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000132,CAMP-2023-010,IND2310025330,ACC0075345,2023-10-07,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000133,CAMP-2023-010,IND2310021683,,2023-10-17,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000134,CAMP-2023-010,IND2310013532,,2023-10-15,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000135,CAMP-2023-010,IND2310015385,ACC0075736,2023-10-25,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000136,CAMP-2023-010,IND2310017876,ACC0074919,2023-10-18,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000137,CAMP-2023-010,IND2310012393,ACC0076374,2023-10-06,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000138,CAMP-2023-010,IND2310007397,ACC0075375,2023-10-09,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000139,CAMP-2023-010,IND2310019112,ACC0076259,2023-10-10,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000140,CAMP-2023-010,IND2310016302,,2023-10-09,complained,,email,"Customer complained about frequency, relevance or timing of marketing contact."
RESP-202310-0000141,CAMP-2023-010,IND2310016057,ACC0076061,2023-10-09,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000142,CAMP-2023-010,IND2310004692,ACC0076688,2023-10-16,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000143,CAMP-2023-010,IND2310025440,ACC0075427,2023-10-26,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000144,CAMP-2023-010,IND2310026266,,2023-10-02,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000145,CAMP-2023-010,IND2310008590,ACC0076095,2023-10-10,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000146,CAMP-2023-010,IND2310011007,ACC0076151,2023-10-21,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000147,CAMP-2023-010,IND2310008683,ACC0076646,2023-10-14,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000148,CAMP-2023-010,IND2310025161,ACC0075172,2023-10-20,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000149,CAMP-2023-010,IND2310025199,ACC0075359,2023-10-19,opted_out,,email,Customer opted out of marketing messages for this channel.
RESP-202310-0000150,CAMP-2023-010,IND2310002027,ACC0075149,2023-10-12,opened,,email,Customer opened or viewed the campaign message.
RESP-202310-0000151,CAMP-2023-010,IND2310025149,ACC0074996,2023-10-22,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000152,CAMP-2023-010,IND2310002600,,2023-10-11,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000153,CAMP-2023-010,IND2310021648,ACC0076724,2023-10-16,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000154,CAMP-2023-010,IND2310008489,ACC0074991,2023-10-11,complained,,branch_poster,"Customer complained about frequency, relevance or timing of marketing contact."
RESP-202310-0000155,CAMP-2023-010,IND2310004523,ACC0076109,2023-10-27,ignored,,email,No direct action recorded after campaign exposure.
RESP-202310-0000156,CAMP-2023-011,IND2310001316,ACC0075846,2023-10-27,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000157,CAMP-2023-011,IND2310001776,,2023-10-21,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000158,CAMP-2023-011,IND2310004909,,2023-10-29,ignored,,radio,No direct action recorded after campaign exposure.
